Date,Currency_pair,Prediction_action,Day Open,Day Close,Day High,Day Low,Day Average,Momentum_3day,Momentum_4day,Momentum_5day,Momentum_8day,Momentum_9day,Momentum_10day,Roc_3day,Roc_4day,Roc_5day,Roc_8day,Roc_9day,Roc_10day,Fast_k_3day,Fast_d_3day,Fast_k_4day,Fast_d_4day,Fast_k_5day,Fast_d_5day,Fast_k_8day,Fast_d_8day,Fast_k_9day,Fast_d_9day,Fast_k_10day,Fast_d_10day,PROC_12day,PROC_13day,PROC_14day,PROC_15day,Weighted_Close_Price,WILLIAM_A_D,ADOSC_1day,ADOSC_2day,ADOSC_3day,ADOSC_4day,ADOSC_5day,EMA_12Day,EMA_26Day,MACD,CCI,BOLLINGER_BANDS_LOW,BOLLINGER_BANDS_HIGH,HEIKIN_ASHI_XCLOSE,HEIKIN_ASHI_XOPEN,HEIKIN_ASHI_XHIGH,HEIKIN_ASHI_XLOW,2DAY_HIGH,2DAY_LOW,1DAY_HIGH_LOW_AVG,2DAY_HIGH_LOW_AVG,High_slope_3day,High_slope_4day,High_slope_5day,High_slope_8day,High_slope_10day,High_slope_12day,High_slope_15day,High_slope_20day,High_slope_25day,High_slope_30day,Pips,Prediction_Pips,Volume
'2012-01-01', ' EUR_USD', 'sell', ' 1.29525', ' 1.29467', ' 1.2961200000000002', ' 1.2913000000000001', ' 1.2939665404475045', 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 69.91556191779922, 69.91556191779922, 69.91556191779922, 69.91556191779922, 69.91556191779922, 69.91556191779922, 69.91556191779922, 69.91556191779922, 69.91556191779922, 69.91556191779922, 69.91556191779922, 69.91556191779922, 0.0, 0.0, 0.0, 0.0, 1.29419, 0.0, 462, 0, 0, 0, 0, 1.29467, 1.29467, 0.0, 0.0, 1.2913000000000001, 1.2961200000000002, 1.2943350000000002, 1.29496, 1.2961200000000002, 1.2913000000000001, 1.2961200000000002, 1.2913000000000001, 1.9417700000000002, 1.2937100000000001, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, -5.800000000000249, -9.900000000000464, ' 1162.'
'2012-01-02', ' EUR_USD', 'buy', ' 1.29471', ' 1.29372', ' 1.29706', ' 1.29181', ' 1.293703403418225', 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 36.380259423630136, 36.380259423630136, 36.380259423630136, 36.380259423630136, 36.380259423630136, 36.380259423630136, 36.380259423630136, 36.380259423630136, 36.380259423630136, 36.380259423630136, 36.380259423630136, 36.380259423630136, 0.0, 0.0, 0.0, 0.0, 1.2940775, 0.0024199999999998667, -3219, 462, 0, 0, 0, 1.294195, 1.294195, 0.0, 0.0, 1.29181, 1.29706, 1.294325, 1.29496, 1.29706, 1.29181, 1.29706, 1.2913000000000001, 1.942965, 1.2940725, 0.00046999999999997044, 0.00046999999999997044, 0.00046999999999997044, 0.00046999999999997044, 0.00046999999999997044, 0.00046999999999997044, 0.00046999999999997044, 0.00046999999999997044, 0.00046999999999997044, 0.00046999999999997044, -9.900000000000464, 116.60000000000004, ' 11819.'
'2012-01-03', ' EUR_USD', 'sell', ' 1.2937400000000001', ' 1.3054000000000001', ' 1.30766', ' 1.2935599999999998', ' 1.3024615820526892', 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 83.97103566641448, 83.97103566641448, 83.97103566641448, 83.97103566641448, 83.97103566641448, 83.97103566641448, 83.97103566641448, 83.97103566641448, 83.97103566641448, 83.97103566641448, 83.97103566641448, 83.97103566641448, 0.0, 0.0, 0.0, 0.0, 1.3030050000000002, 0.00015999999999993797, 22282, -3219, 462, 0, 0, 1.29793, 1.29793, 0.0, 0.0, 1.2935599999999998, 1.30766, 1.30009, 1.294215, 1.30766, 1.2935599999999998, 1.30766, 1.29181, 1.95444, 1.2975225, 0.003846666666666628, 0.003846666666666628, 0.003846666666666628, 0.003846666666666628, 0.003846666666666628, 0.003846666666666628, 0.003846666666666628, 0.003846666666666628, 0.003846666666666628, 0.003846666666666628, 116.60000000000004, -122.89999999999912, ' 32796.'
'2012-01-04', ' EUR_USD', 'sell', ' 1.30538', ' 1.29309', ' 1.307255', ' 1.289765', ' 1.2974393742673827', -0.0015799999999999148, 0.0, 0.0, 0.0, 0.0, 0.0, -0.0012203882070333867, 0.0, 0.0, 0.0, 0.0, 0.0, 37.13615900084938, 37.13615900084938, 19.010754655490942, 19.010754655490942, 19.010754655490942, 19.010754655490942, 19.010754655490942, 19.010754655490942, 19.010754655490942, 19.010754655490942, 19.010754655490942, 19.010754655490942, 0.0, 0.0, 0.0, 0.0, 1.2958, 0.0010650000000000936, -20092, 22282, -3219, 462, 0, 1.29672, 1.29672, 0.0, 0.0, 1.289765, 1.307255, 1.2988724999999999, 1.2995700000000001, 1.307255, 1.289765, 1.30766, 1.289765, 1.9521375, 1.29956, 0.0027837499999999737, 0.0027837499999999737, 0.0027837499999999737, 0.0027837499999999737, 0.0027837499999999737, 0.0027837499999999737, 0.0027837499999999737, 0.0027837499999999737, 0.0027837499999999737, 0.0027837499999999737, -122.89999999999912, -138.7000000000005, ' 32418.'
'2012-01-05', ' EUR_USD', 'sell', ' 1.29307', ' 1.2792', ' 1.2944', ' 1.2770299999999999', ' 1.2837677535850234', -0.014520000000000088, -0.015470000000000095, 0.0, 0.0, 0.0, 0.0, -0.011223448659679133, -0.011948990862536472, 0.0, 0.0, 0.0, 0.0, -240.18590122092021, -240.18590122092021, -251.0321362627353, -251.0321362627353, 12.492731763202238, 12.492731763202238, 12.492731763202238, 12.492731763202238, 12.492731763202238, 12.492731763202238, 12.492731763202238, 12.492731763202238, 0.0, 0.0, 0.0, 0.0, 1.2824575, 0.005495000000000028, -31334, -20092, 22282, -3219, 462, 1.293216, 1.293216, 0.0, 0.0, 1.2770299999999999, 1.2944, 1.2859249999999998, 1.299235, 1.299235, 1.2770299999999999, 1.307255, 1.2770299999999999, 1.932915, 1.2921125, -0.0006650000000000267, -0.0003440000000000332, -0.0003440000000000332, -0.0003440000000000332, -0.0003440000000000332, -0.0003440000000000332, -0.0003440000000000332, -0.0003440000000000332, -0.0003440000000000332, -0.0003440000000000332, -138.7000000000005, -72.90000000000241, ' 41771.'
'2012-01-06', ' EUR_USD', 'sell', ' 1.27923', ' 1.2719399999999998', ' 1.28125', ' 1.26974', ' 1.275666534314843', -0.03346000000000027, -0.021780000000000133, -0.02273000000000014, 0.0, 0.0, 0.0, -0.025631990194576577, -0.0168351729895187, -0.01755659743409528, 0.0, 0.0, 0.0, -153.33224587059405, -94.85009044843616, -378.46898154319535, -378.46898154319535, -401.65141802037465, -401.65141802037465, 19.113648013481857, 19.113648013481857, 19.113648013481857, 19.113648013481857, 19.113648013481857, 19.113648013481857, 0.0, 0.0, 0.0, 0.0, 1.2737175, 0.004369999999999763, -18964, -31334, -20092, 22282, -3219, 1.2896699999999999, 1.2896699999999999, 0.0, 0.0, 1.26974, 1.28125, 1.27554, 1.2861349999999998, 1.2861349999999998, 1.26974, 1.2944, 1.26974, 1.91612, 1.280605, -0.006602500000000011, -0.0031620000000000203, -0.00247833333333336, -0.00247833333333336, -0.00247833333333336, -0.00247833333333336, -0.00247833333333336, -0.00247833333333336, -0.00247833333333336, -0.00247833333333336, -72.90000000000241, -33.199999999999896, ' 30701.'
'2012-01-08', ' EUR_USD', 'buy', ' 1.2712400000000001', ' 1.2679200000000002', ' 1.2718099999999999', ' 1.2666499999999998', ' 1.268435346704871', -0.025169999999999915, -0.03747999999999996, -0.025799999999999823, 0.0, 0.0, 0.0, -0.019465002436025267, -0.02871150605178486, -0.019942491420090764, 0.0, 0.0, 0.0, -124.89922870652475, -64.38595791841162, -181.84268196678929, -119.72945200059296, -455.03895163899426, -455.03895163899426, 24.611926125468756, 24.611926125468756, 24.611926125468756, 24.611926125468756, 24.611926125468756, 24.611926125468756, 0.0, 0.0, 0.0, 0.0, 1.268575, 0.003470000000000084, -1772, -18964, -31334, -20092, 22282, 1.286562857142857, 1.286562857142857, 0.0, 0.0, 1.2666499999999998, 1.2718099999999999, 1.269405, 1.275585, 1.275585, 1.2666499999999998, 1.28125, 1.2666499999999998, 1.9051349999999998, 1.2723624999999998, -0.008861250000000043, -0.007170000000000032, -0.0042083333333333695, -0.0034728571428571824, -0.0034728571428571824, -0.0034728571428571824, -0.0034728571428571824, -0.0034728571428571824, -0.0034728571428571824, -0.0034728571428571824, -33.199999999999896, 93.70000000000101, ' 3490.'
'2012-01-09', ' EUR_USD', 'sell', ' 1.2679', ' 1.2772700000000001', ' 1.278565', ' 1.26775', ' 1.2745567442639936', -0.0019299999999997652, -0.015819999999999945, -0.02812999999999999, 0.0, 0.0, 0.0, -0.0015087554721699228, -0.012234260569643215, -0.021548950513252632, 0.0, 0.0, 0.0, 1.3816846189730545, 90.87081795973279, -71.44041486326505, -1.5459753024102223, -115.53109552414122, -61.86327525614441, 88.02507605107839, 88.02507605107839, 88.02507605107839, 88.02507605107839, 88.02507605107839, 88.02507605107839, 0.0, 0.0, 0.0, 0.0, 1.27521375, -2.4999999999497646e-05, 24959, -1772, -18964, -31334, -20092, 1.2854012499999998, 1.2854012499999998, 0.0, 0.0, 1.26775, 1.278565, 1.2728712500000001, 1.2695800000000002, 1.278565, 1.26775, 1.278565, 1.2666499999999998, 1.91244, 1.27119375, -0.003958750000000011, -0.005738000000000021, -0.004849166666666682, -0.002194375000000026, -0.002194375000000026, -0.002194375000000026, -0.002194375000000026, -0.002194375000000026, -0.002194375000000026, -0.002194375000000026, 93.70000000000101, -19.500000000001183, ' 32819.'
'2012-01-10', ' EUR_USD', 'sell', ' 1.27729', ' 1.27534', ' 1.281805', ' 1.2742900000000001', ' 1.2780682452495975', 0.0034000000000000696, -0.0038599999999999746, -0.017750000000000155, -0.01933000000000007, 0.0, 0.0, 0.002673082063619408, -0.003017510944340193, -0.01372680942548481, -0.014930445596175141, 0.0, 0.0, 48.652922216139494, 95.74672247924885, -9.729362525258685, 69.1103828970313, -82.47522884374662, -14.517223050955268, -331.1134623763001, -331.1134623763001, 13.971869968460592, 13.971869968460592, 13.971869968460592, 13.971869968460592, 0.0, 0.0, 0.0, 0.0, 1.2766937500000002, 0.006295000000000162, -22373, 24959, -1772, -18964, -31334, 1.2842833333333332, 1.2842833333333332, 0.0, 0.0, 1.2742900000000001, 1.281805, 1.27718125, 1.272585, 1.281805, 1.272585, 1.281805, 1.26775, 1.9189500000000002, 1.2756025, 0.0001387500000000208, -0.002518999999999982, -0.004241666666666662, -0.0015905555555555642, -0.0015905555555555642, -0.0015905555555555642, -0.0015905555555555642, -0.0015905555555555642, -0.0015905555555555642, -0.0015905555555555642, -19.500000000001183, -30.94999999999848, ' 31050.'
'2012-01-11', ' EUR_USD', 'buy', ' 1.27531', ' 1.272215', ' 1.27898', ' 1.26616', ' 1.2718603666301718', 0.004294999999999938, 0.00027500000000024727, -0.006984999999999797, -0.021504999999999885, -0.02245499999999989, 0.0, 0.0033874376932298074, 0.00021620516691058328, -0.00546044402751704, -0.016622607673994285, -0.01734418809426332, 0.0, 107.84674715606687, 40.50684700585177, 21.5028540151695, 56.87815713299165, -27.720047668117985, 33.8765178343728, -373.23098607643783, -373.23098607643783, -395.94614219621656, -395.94614219621656, 47.23052082277142, 47.23052082277142, 0.0, 0.0, 0.0, 0.0, 1.2723925, 0.01364500000000013, -1922, -22373, 24959, -1772, -18964, 1.2830765, 1.2830765, 0.0, 0.0, 1.26616, 1.27898, 1.27316625, 1.2763149999999999, 1.27898, 1.26616, 1.281805, 1.26616, 1.9120599999999999, 1.2753087500000002, 0.0017925000000000302, -0.00045399999999999884, -0.002569999999999998, -0.0020088888888888995, -0.0017140000000000154, -0.0017140000000000154, -0.0017140000000000154, -0.0017140000000000154, -0.0017140000000000154, -0.0017140000000000154, -30.94999999999848, 98.60000000000201, ' 34708.'
'2012-01-12', ' EUR_USD', 'sell', ' 1.272185', ' 1.282045', ' 1.284515', ' 1.2699500000000001', ' 1.2775637651012675', 0.004774999999999974, 0.014124999999999943, 0.010105000000000253, -0.023355000000000015, -0.01167499999999988, -0.012624999999999886, 0.0037384421461397928, 0.011140292762950298, 0.007944557133198306, -0.017891067871916664, -0.009024363849982902, -0.009751519692276708, 132.176309049386, 119.75851282622729, 298.34693126102417, 177.90515997821123, 106.90610854814561, 179.14311628618523, -81.66608747455363, -32.311297293070474, -185.996457210328, -185.996457210328, -192.0084645546757, -192.0084645546757, 0.0, 0.0, 0.0, 0.0, 1.2796387500000002, 0.0035850000000001714, 22317, -1922, -22373, 24959, -1772, 1.2829827272727272, 1.2829827272727272, 0.0, 0.0, 1.2699500000000001, 1.284515, 1.2771737500000002, 1.2737625000000001, 1.284515, 1.2699500000000001, 1.284515, 1.26616, 1.9194900000000001, 1.27490125, 0.0014875000000000305, 0.0025410000000000376, 0.0005441666666666789, -0.0025716666666666635, -0.001055000000000008, -0.001055000000000008, -0.001055000000000008, -0.001055000000000008, -0.001055000000000008, -0.001055000000000008, 98.60000000000201, -139.5499999999994, ' 33772.'
